group,home_team,away_team,home_elo,away_elo,elo_difference,neutral,tournament_weight,home_form,away_form,home_ranking,away_ranking,ranking_difference,home_goals,away_goals,predicted_result,home_win%,draw%,away_win%
G,Belgium,Egypt,1175.3966005351936,1159.849851826749,15.55,True,4,0.7333333333333333,0.4666666666666667,1742.24,1562.37,179.87000000000012,1,0,H,64.8,24.2,11.0
G,Belgium,Iran,1175.3966005351936,1199.8546907318291,-24.46,True,4,0.7333333333333333,0.6,1742.24,1619.58,122.66000000000008,1,0,H,59.6,18.6,21.8
G,Belgium,New Zealand,1175.3966005351936,1055.661128360191,119.74,True,4,0.7333333333333333,0.2,1742.24,1275.58,466.6600000000001,1,0,H,93.4,3.4,3.2
G,Egypt,Iran,1159.849851826749,1199.8546907318291,-40.0,True,4,0.4666666666666667,0.6,1562.37,1619.58,-57.210000000000036,1,2,A,15.9,17.9,66.2
G,Egypt,New Zealand,1159.849851826749,1055.661128360191,104.19,True,4,0.4666666666666667,0.2,1562.37,1275.58,286.78999999999996,2,0,H,85.6,9.8,4.6
G,Iran,New Zealand,1199.8546907318291,1055.661128360191,144.19,True,4,0.6,0.2,1619.58,1275.58,344.0,1,0,H,88.6,8.9,2.5
H,Spain,Cape Verde,1298.439361941634,1060.355326298546,238.08,True,4,0.7333333333333333,0.4,1874.71,1371.11,503.60000000000014,2,0,H,94.7,3.6,1.7
H,Spain,Saudi Arabia,1298.439361941634,1084.138475443295,214.3,True,4,0.7333333333333333,0.2,1874.71,1421.54,453.1700000000001,2,0,H,84.8,10.3,4.9
H,Spain,Uruguay,1298.439361941634,1126.9949139658931,171.44,True,4,0.7333333333333333,0.4,1874.71,1673.07,201.6400000000001,1,1,D,20.4,65.9,13.7
H,Cape Verde,Saudi Arabia,1060.355326298546,1084.138475443295,-23.78,True,4,0.4,0.2,1371.11,1421.54,-50.430000000000064,1,1,D,14.5,60.0,25.5
H,Cape Verde,Uruguay,1060.355326298546,1126.9949139658931,-66.64,True,4,0.4,0.4,1371.11,1673.07,-301.96000000000004,0,1,A,3.6,13.0,83.4
H,Saudi Arabia,Uruguay,1084.138475443295,1126.9949139658931,-42.86,True,4,0.2,0.4,1421.54,1673.07,-251.52999999999997,0,1,A,3.7,11.8,84.5
I,France,Senegal,1270.281927413939,1212.8217810435044,57.46,True,4,0.8666666666666667,0.6,1870.7,1686.41,184.28999999999996,1,0,H,76.3,13.1,10.6
I,France,Iraq,1270.281927413939,1138.243764832269,132.04,True,4,0.8666666666666667,0.6,1870.7,1451.15,419.54999999999995,2,0,H,78.8,15.8,5.4
I,France,Norway,1270.281927413939,1127.4711793618308,142.81,True,4,0.8666666666666667,0.6666666666666666,1870.7,1557.44,313.26,1,0,H,77.9,17.9,4.2
I,Senegal,Iraq,1212.8217810435044,1138.243764832269,74.58,True,4,0.6,0.6,1686.41,1451.15,235.26,2,0,H,73.3,14.5,12.2
I,Senegal,Norway,1212.8217810435044,1127.4711793618308,85.35,True,4,0.6,0.6666666666666666,1686.41,1557.44,128.97000000000003,2,0,H,63.5,20.0,16.5
I,Iraq,Norway,1138.243764832269,1127.4711793618308,10.77,True,4,0.6,0.6666666666666666,1451.15,1557.44,-106.28999999999996,0,1,A,10.2,8.8,81.0
J,Argentina,Algeria,1263.339684030934,1200.795089505932,62.54,True,4,1.0,0.6666666666666666,1876.12,1571.03,305.0899999999999,2,0,H,84.6,11.2,4.2
J,Argentina,Austria,1263.339684030934,1116.9191563395573,146.42,True,4,1.0,0.8666666666666667,1876.12,1597.4,278.7199999999998,1,0,H,81.5,11.2,7.3
J,Argentina,Jordan,1263.339684030934,1128.3744636340589,134.97,True,4,1.0,0.3333333333333333,1876.12,1387.74,488.3799999999999,2,0,H,86.0,9.2,4.8
J,Algeria,Austria,1200.795089505932,1116.9191563395573,83.88,True,4,0.6666666666666666,0.8666666666666667,1571.03,1597.4,-26.37000000000012,0,1,A,14.8,15.4,69.8
J,Algeria,Jordan,1200.795089505932,1128.3744636340589,72.42,True,4,0.6666666666666666,0.3333333333333333,1571.03,1387.74,183.28999999999996,1,0,H,66.4,21.6,12.0
J,Austria,Jordan,1116.9191563395573,1128.3744636340589,-11.46,True,4,0.8666666666666667,0.3333333333333333,1597.4,1387.74,209.66000000000008,1,0,H,64.2,20.7,15.1
K,Portugal,DR Congo,1216.200891653489,1101.4128598383145,114.79,True,4,0.5333333333333333,0.6666666666666666,1766.18,,,3,0,H,64.0,21.6,14.4
K,Portugal,Uzbekistan,1216.200891653489,1152.6688145601051,63.53,True,4,0.5333333333333333,0.6666666666666666,1766.18,1458.73,307.45000000000005,1,0,H,82.8,9.3,7.9
K,Portugal,Colombia,1216.200891653489,1155.1702715503377,61.03,True,4,0.5333333333333333,0.6,1766.18,1698.35,67.83000000000015,0,1,A,22.4,19.7,57.9
K,DR Congo,Uzbekistan,1101.4128598383145,1152.6688145601051,-51.26,True,4,0.6666666666666666,0.6666666666666666,,1458.73,,1,2,A,7.5,8.8,83.7
K,DR Congo,Colombia,1101.4128598383145,1155.1702715503377,-53.76,True,4,0.6666666666666666,0.6,,1698.35,,0,1,A,7.3,4.7,88.0
K,Uzbekistan,Colombia,1152.6688145601051,1155.1702715503377,-2.5,True,4,0.6666666666666666,0.6,1458.73,1698.35,-239.6199999999999,0,1,A,2.9,4.0,93.1
L,England,Croatia,1234.2455904297683,1169.3637137082326,64.88,True,4,0.6666666666666666,0.6,1827.05,1714.87,112.18000000000006,2,0,H,66.4,16.6,17.0
L,England,Ghana,1234.2455904297683,1038.5547090822508,195.69,True,4,0.6666666666666666,0.06666666666666667,1827.05,1346.88,480.16999999999985,2,0,H,94.6,4.6,0.8
L,England,Panama,1234.2455904297683,1118.6665633242624,115.58,True,4,0.6666666666666666,0.3333333333333333,1827.05,1539.16,287.8899999999999,2,0,H,78.2,12.4,9.4
L,Croatia,Ghana,1169.3637137082326,1038.5547090822508,130.81,True,4,0.6,0.06666666666666667,1714.87,1346.88,367.9899999999998,2,0,H,87.1,8.5,4.4
L,Croatia,Panama,1169.3637137082326,1118.6665633242624,50.7,True,4,0.6,0.3333333333333333,1714.87,1539.16,175.7099999999998,1,0,H,70.3,18.0,11.7
L,Ghana,Panama,1038.5547090822508,1118.6665633242624,-80.11,True,4,0.06666666666666667,0.3333333333333333,1346.88,1539.16,-192.27999999999997,0,1,A,6.4,23.0,70.6
