date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,winner,result,home_form,away_form,home_elo,away_elo,elo_difference,goal_difference,tournament_weight
2016-03-23,Romania,Lithuania,1.0,0.0,Friendly,Giurgiu,Romania,False,,H,0.5,0.5,1000.0,1000.0,0.0,1.0,1.0
2016-03-23,São Tomé and Príncipe,Libya,2.0,1.0,African Cup of Nations qualification,São Tomé,São Tomé and Príncipe,False,,H,0.5,0.0,1000.0,995.9539503327109,4.05,1.0,2.0
2016-03-23,Slovenia,North Macedonia,1.0,0.0,Friendly,Koper,Slovenia,False,,H,0.5,0.5,1000.0,1000.0,0.0,1.0,1.0
2016-03-23,South Sudan,Benin,1.0,2.0,African Cup of Nations qualification,Juba,South Sudan,False,,A,0.5,0.5,1000.0,1000.0,0.0,-1.0,2.0
2016-03-23,Zambia,Congo,1.0,1.0,African Cup of Nations qualification,Ndola,Zambia,False,,D,0.5,0.5,1000.0,1000.0,0.0,0.0,2.0
2016-03-24,Australia,Tajikistan,7.0,0.0,FIFA World Cup qualification,Adelaide,Australia,False,,H,0.5,0.5,1000.0,1000.0,0.0,7.0,2.0
2016-03-24,Bahrain,Yemen,3.0,0.0,FIFA World Cup qualification,Riffa,Bahrain,False,,H,0.2,0.5,1004.0,1000.0,4.0,3.0,2.0
2016-03-24,Bolivia,Colombia,2.0,3.0,FIFA World Cup qualification,La Paz,Bolivia,False,,A,0.5,0.5,1000.0,1000.0,0.0,-1.0,2.0
2016-03-24,Chile,Argentina,1.0,2.0,FIFA World Cup qualification,Santiago,Chile,False,,A,0.5,0.5,1000.0,1000.0,0.0,-1.0,2.0
2016-03-24,China PR,Maldives,4.0,0.0,FIFA World Cup qualification,Wuhan,China PR,False,,H,0.5,0.2,1000.0,999.9994759373819,0.0,4.0,2.0
2016-03-24,Comoros,Botswana,1.0,0.0,African Cup of Nations qualification,Mitsamiouli,Comoros,False,,H,0.5,0.5,1000.0,1000.0,0.0,1.0,2.0
2016-03-24,Czech Republic,Scotland,0.0,1.0,Friendly,Prague,Czech Republic,False,,A,0.5,0.5,1000.0,1000.0,0.0,-1.0,1.0
2016-03-24,Denmark,Iceland,2.0,1.0,Friendly,Herning,Denmark,False,,H,0.5,0.2,1000.0,995.9094849921322,4.09,1.0,1.0
2016-03-24,Djibouti,Liberia,0.0,1.0,African Cup of Nations qualification,Djibouti,Djibouti,False,,A,0.5,0.5,1000.0,1000.0,0.0,-1.0,2.0
2016-03-24,Ecuador,Paraguay,2.0,2.0,FIFA World Cup qualification,Quito,Ecuador,False,,D,0.5,0.5,1000.0,1000.0,0.0,0.0,2.0
2016-03-24,Estonia,Norway,0.0,0.0,Friendly,Tallinn,Estonia,False,,D,0.06666666666666667,0.5,1000.0,1000.0,0.0,0.0,1.0
2016-03-24,Ghana,Mozambique,3.0,1.0,African Cup of Nations qualification,Accra,Ghana,False,,H,0.5,0.5,1000.0,1000.0,0.0,2.0,2.0
2016-03-24,Greece,Montenegro,2.0,1.0,Friendly,Piraeus,Greece,False,,H,0.5,0.5,1000.0,1000.0,0.0,1.0,1.0
2016-03-24,Iran,India,4.0,0.0,FIFA World Cup qualification,Tehran,Iran,False,,H,0.5,0.2,1000.0,1008.0,-8.0,4.0,2.0
2016-03-24,Iraq,Thailand,2.0,2.0,FIFA World Cup qualification,Tehran,Iran,True,,D,0.0,0.5,996.0,1000.0,-4.0,0.0,2.0
2016-03-24,Italy,Spain,1.0,1.0,Friendly,Udine,Italy,False,,D,0.5,0.5,1000.0,1000.0,0.0,0.0,1.0
2016-03-24,Japan,Afghanistan,5.0,0.0,FIFA World Cup qualification,Saitama,Japan,False,,H,0.5,0.0,1000.0,992.0,8.0,5.0,2.0
2016-03-24,Jordan,Bangladesh,8.0,0.0,FIFA World Cup qualification,Amman,Jordan,False,,H,0.2,0.26666666666666666,1004.0,1000.0000000007996,4.0,8.0,2.0
2016-03-24,South Korea,Lebanon,1.0,0.0,FIFA World Cup qualification,Ansan,South Korea,False,,H,0.5,0.0,1000.0,992.0460496672891,7.95,1.0,2.0
2016-03-24,Madagascar,Central African Republic,1.0,1.0,African Cup of Nations qualification,Antananarivo,Madagascar,False,,D,0.5,0.5,1000.0,1000.0,0.0,0.0,2.0
2016-03-24,Malta,Moldova,0.0,0.0,Friendly,Attard,Malta,False,,D,0.5,0.5,1000.0,1000.0,0.0,0.0,1.0
2016-03-24,Oman,Guam,1.0,0.0,FIFA World Cup qualification,Muscat,Oman,False,,H,0.5,0.5,1000.0,1000.0,0.0,1.0,2.0
2016-03-24,Peru,Venezuela,2.0,2.0,FIFA World Cup qualification,Lima,Peru,False,,D,0.5,0.5,1000.0,1000.0,0.0,0.0,2.0
2016-03-24,Qatar,Hong Kong,2.0,0.0,FIFA World Cup qualification,Doha,Qatar,False,,H,0.5,0.5,1000.0,1000.0,0.0,2.0,2.0
2016-03-24,Saudi Arabia,Malaysia,2.0,0.0,FIFA World Cup qualification,Jeddah,Saudi Arabia,False,,H,0.5,0.5,1000.0,1000.0,0.0,2.0,2.0
2016-03-24,Singapore,Myanmar,2.0,1.0,Friendly,Kallang,Singapore,False,,H,0.5,0.5,1000.0,1000.0,0.0,1.0,1.0
2016-03-24,Solomon Islands,Papua New Guinea,2.0,0.0,Friendly,Honiara,Solomon Islands,False,,H,0.5,0.5,1000.0,1000.0,0.0,2.0,1.0
2016-03-24,Syria,Cambodia,6.0,0.0,FIFA World Cup qualification,Seeb,Oman,True,,H,0.2,0.0,1004.0,996.0,8.0,6.0,2.0
2016-03-24,Turkey,Sweden,2.0,1.0,Friendly,Antalya,Turkey,False,,H,0.5,0.26666666666666666,1000.0,1004.0,-4.0,1.0,1.0
2016-03-24,Ukraine,Cyprus,1.0,0.0,Friendly,Odessa,Ukraine,False,,H,0.5,0.5,1000.0,1000.0,0.0,1.0,1.0
2016-03-24,United Arab Emirates,Palestine,2.0,0.0,FIFA World Cup qualification,Abu Dhabi,United Arab Emirates,False,,H,0.4,0.5,1008.0449894031785,1000.0,8.04,2.0,2.0
2016-03-24,Uzbekistan,Philippines,1.0,0.0,FIFA World Cup qualification,Tashkent,Uzbekistan,False,,H,0.2,0.5,1003.9539503327109,1000.0,3.95,1.0,2.0
